target_word,ground_truth_ipa,actual_ipa,distance
04SSD2M,/iɹ/,ja,0.5
04SSD2M,/sɔsɪdʒʒ/,skɑsɛs,2.083333333333333
04SSD2M,/daemʌndɹɪŋ/,taɪmmaɪn,2.8333333333333335
03SSD1F,/ʃae/,soʊ,0.3333333333333333
04SSD2M,/ʃip/,ti,1.1666666666666667
04SSD2M,/fɪʃ/,fɛə,0.45833333333333337
02SSD1M,/tʃʃeɹ/,tʃʃɛə,0.375
04SSD2M,/lɛɡ/,lɛts,1.25
03SSD1F,/splaʃ/,flæʃ,1.125
cleft_21M,/atɪp/,ətækt,1.3333333333333333
02SSD1M,/fɛðəɹ/,fɑðəɹ,0.16666666666666666
04SSD2M,/ɹabɪt/,wɑtbɪt,1.25
03SSD1F,/ɔɹɪndʒʒ/,oʊlɛtmisi,3.0833333333333335
04SSD2M,/van/,faɪv,1.3333333333333335
01SSD1M,/ɛɡ/,aɪ,0.4166666666666667
04SSD2M,/zɛbɹa/,sɛpɑ,1.125
03SSD1F,/ɹae/,waɪ,0.2916666666666667
03SSD1F,/pakəɹ/,tɹæktəɹ,2.166666666666667
01SSD1M,/ɔɹɪndʒʒ/,ænd,4.125
01SSD1M,/ɹɔkəɹ/,wɔtəɹ,0.4166666666666667
04SSD2M,/tivi/,ɡɪftɪç,2.375
04SSD2M,/pɔp/,pɒp,0.08333333333333333
04SSD2M,/kaɹ/,ɡoʊ,0.375
03SSD1F,/ɹɔkəɹ/,wɑt,2.583333333333333
01SSD1M,/sɪkstin/,stin,3.0
04SSD2M,/ala/,aɪ,1.1666666666666667
01SSD1M,/stɹɪŋ/,ʂtɔɛtə,1.6666666666666667
cleft_21M,/akoɹ/,əkɑɹ,0.20833333333333331
02SSD1M,/kaɹe/,kætʃʃi,2.3333333333333335
03SSD1F,/fɪʃɪn//fɪʃɪŋ/,fæst,6.333333333333333
03SSD1F,/ðatwʌn/,ðætwʌn,0.041666666666666664
03SSD1F,/lʌɡɪdʒʒ/,lɑtəvðæt,1.9166666666666667
03SSD1F,/wɔtəɹ/,wʌt,2.083333333333333
03SSD1F,/jʌke/,jɛp,1.25
cleft_16M,/aʃi/,əhɛm,1.375
