target_word,ground_truth_ipa,actual_ipa,distance
04SSD2M,/iɹ/,ja,7.375
04SSD2M,/sɔsɪdʒʒ/,ʃəkɑɡoʊ,25.75
04SSD2M,/daemʌndɹɪŋ/,taɪmmaɪn,23.75
03SSD1F,/ʃae/,soʊ,3.5
04SSD2M,/ʃip/,ti,9.25
04SSD2M,/fɪʃ/,feɪs,8.0
02SSD1M,/tʃʃeɹ/,tʃʃɛ,7.5
04SSD2M,/lɛɡ/,lɛt,2.375
03SSD1F,/splaʃ/,flæʃ,8.875
cleft_21M,/atɪp/,aɪətæk,17.75
02SSD1M,/fɛðəɹ/,fɑðəɹ,1.5
04SSD2M,/ɹabɪt/,wɒtbɪt,9.875
03SSD1F,/ɔɹɪndʒʒ/,owslihpt,29.875
04SSD2M,/van/,faɪn,7.5
01SSD1M,/ɛɡ/,aɪ,9.125
04SSD2M,/zɛbɹa/,sɛpa,7.75
03SSD1F,/ɹae/,waɪ,2.875
03SSD1F,/pakəɹ/,tɹæktəɹ,16.125
01SSD1M,/ɔɹɪndʒʒ/,ænd,30.25
01SSD1M,/ɹɔkəɹ/,wɑɾəɹ,9.25
04SSD2M,/tivi/,tɪktak,18.875
04SSD2M,/pɔp/,pɑp[noise],37.75
04SSD2M,/kaɹ/,ɡoʊ,4.75
03SSD1F,/ɹɔkəɹ/,lʊk,18.5
01SSD1M,/sɪkstin/,steɪd,26.75
04SSD2M,/ala/,ɑ,14.75
01SSD1M,/stɹɪŋ/,ʃtɔɛtə,17.375
cleft_21M,/akoɹ/,əkɑɹ,2.0
02SSD1M,/kaɹe/,kætʃʃ,21.5
03SSD1F,/fɪʃɪn//fɪʃɪŋ/,fæsə,46.5
03SSD1F,/ðatwʌn/,ðætwʌn,0.5
03SSD1F,/lʌɡɪdʒʒ/,nɑtðæt,23.625
03SSD1F,/wɔtəɹ/,wɑt,16.0
03SSD1F,/jʌke/,jɛp,10.0
cleft_16M,/aʃi/,əhɛm,12.125
01SSD1M,/ɡɹoz/,keɪdənɡoʊz,47.25
02SSD1M,/ɹae/,jɑ,9.125
02SSD1M,/ɹab/,kæn,11.5
04SSD2M,/tɛlɪvɪʒɪn/,tʃʃɑɹliðəkæt,33.0
03SSD1F,/bʌɹd/,bædʒʒ,16.25
04SSD2M,/tɹen/,tiθ,11.75
02SSD1M,/pʉɹ/,klɪəɹ,18.5
02SSD1M,/ɹet/,eɪt,4.75
04SSD2M,/kɹab/,kʌp,8.0
04SSD2M,/iɹi/,jʌmi,13.875
cleft_21M,/akʌp/,əkɑp,1.5
03SSD1F,/θaŋks/,fɛns,12.0
cleft_21M,/asi/,aɪsi,7.25
04SSD2M,/aɡa/,ɑtʃʃɑ,17.375
01SSD1M,/iɹ/,waɪ,12.25
04SSD2M,/jɛlo/,læɹi,9.875
01SSD1M,/apʌl/,æftəɹ,12.625
04SSD2M,/fɹɔɡ/,fɔɡ,7.25
04SSD2M,/kwin/,kʊd,11.0
04SSD2M,/aɹa/,ɑɑ,7.75
03SSD1F,/kʉt/,tʃʃɪmp,27.0
03SSD1F,/θɪkəɹ/,tækəl,6.0
cleft_16M,/aʃɔk/,əʃɑk,2.25
01SSD1M,/pɪŋpɔŋ/,pɪŋ,21.75
04SSD2M,/doɹ/,tuɔ,5.25
03SSD1F,/toɹ/,kul,6.625
04SSD2M,/il/,io,6.5
04SSD2M,/tʉθbɹʌʃ/,tuplʌs,12.0
04SSD2M,/pɛp/,tæp,1.875
03SSD1F,/snek/,fit,11.0
02SSD1M,/dɹe/,oʊkeɪ,21.625
