target_word,ground_truth_ipa,actual_ipa,distance
01SSD1M,[ɛɡ],æŋk,1.125
01SSD1M,[k'weɐ],ɡoʊɪŋɑp,3.416666666666667
01SSD1M,[ʪkʉl],ʌʃkɪ,2.0
04SSD2M,[ɭɛɻo],noʊɾoʊ,2.625
03SSD1F,/dʒʒaʉn/,dʒʒaʊn,0.125
01SSD1M,[ijʌ],jæ,1.0833333333333333
04SSD2M,[zɛba],sɛbʌ,0.08333333333333333
03SSD1F,[fɪ̽sɪ̽n],sɛn,2.0416666666666665
03SSD1F,[dʒʒʉ],ɡɪt,1.7916666666666667
01SSD1M,[vɛʌ],soʊ,0.41666666666666663
01SSD1M,[pixɪŋ],bikɪnd,1.2916666666666667
cleft_21M,[atʉᵊl],ɑtɪl,0.25
03SSD1F,[pɪ̽d],peɪt,1.0416666666666667
03SSD1F,[fɛlʌ],sʌ,2.125
03SSD1F,[wɔʔs],wʌs,1.0833333333333333
03SSD1F,[ɪnᵊ],ɛn,0.041666666666666664
01SSD1M,[pɪ̽ŋq'pɔŋq'],pŋɔŋk,3.0416666666666665
03SSD1F,[ɡəwaf],ɡoʊæ,1.2916666666666667
02SSD1M,[lʒab],ɡæp,1.3333333333333335
03SSD1F,[tip],titt,1.125
01SSD1M,[ɔɹɪŋɡʃ],ɔʌŋʃ,2.125
03SSD1F,[wae],waɪ,0.08333333333333333
cleft_28F,[acɪ̽ʔ],aɪæ,1.3333333333333333
03SSD1F,[lʌdɛdz],nɑtðæt,1.0416666666666665
02SSD1M,[θɬ↓i],ʃi,1.0833333333333333
03SSD1F,[bʌɟɡə],bʌtɛ,1.25
cleft_21M,[at͋ɪ̽p],ʌtsæʔ,1.4166666666666667
04SSD2M,[tɛʌɽe],djæ,2.2499999999999996
04SSD2M,[ijʌ],iɑ,1.0833333333333333
03SSD1F,[tswea],ʃæ,3.1249999999999996
03SSD1F,[sʉəl],sɪlt,0.7083333333333333
04SSD2M,[lae],laɪ,0.08333333333333333
02SSD1M,[aʒo],bæeɪt,2.541666666666667
cleft_28F,[açak'],ʌʃɑk,0.24999999999999997
cleft_21M,[akʌp],ɑkɑlp,1.125
04SSD2M,[tip],d,2.041666666666667
03SSD1F,[hɛlətɔʔtʌ],hitɔttʌ,2.291666666666667
04SSD2M,[lɛd],æt,1.125
01SSD1M,[dʒʒ͌ɪ̽ʋaf],kjuæsʌ,2.5833333333333335
03SSD1F,[ɔhɬɪ̽dnz],oʊɛdbts,1.5000000000000002
03SSD1F,[dʒʒadɔᵊ],ɡɛttʌ,1.875
04SSD2M,[fat'],sʌt,0.16666666666666666
02SSD1M,[ʒɛɪts],ʃeɪt,1.0833333333333333
02SSD1M,[ʒɪŋ],ʃŋ,1.0416666666666667
01SSD1M,[stwɪ̽ŋ],stuɪŋ,0.125
04SSD2M,[bɪ̽ɡ],bæŋk,1.1666666666666667
04SSD2M,[kɥin],ki,2.0
04SSD2M,[tif],d,2.041666666666667
04SSD2M,[tam],tɑm,0.041666666666666664
01SSD1M,[ɡoz],keɪtikʌʌskɪkʌmʌz,13.083333333333332
03SSD1F,[fɪ̽ʔtʃʃə],sɛʔəntʌt,2.0833333333333335
02SSD1M,[tʃʃɛʌ],tʃʃaɪlt,2.25
01SSD1M,[ʛᵊlas],ɡʌlæs,1.125
03SSD1F,[tɪ̽de],tɪdit,1.0416666666666667
04SSD2M,[ɛəfaɪn],æzɑt,2.416666666666667
04SSD2M,[ɔʌ],ɔ,1.0
02SSD1M,[pʉʌ],tuʌ,0.16666666666666666
01SSD1M,[ʃɪzɐz],ʃizʌʃ,0.20833333333333331
04SSD2M,[faŋkʉ],fʌŋk,1.0416666666666667
02SSD1M,[lʒoʌ],ʌ,3.0
01SSD1M,[tɒɪ],kɔ,1.2916666666666667
03SSD1F,[tɪdəɹ],tɪdʒʒʌ,1.6666666666666667
04SSD2M,[bʌd],bɑt,0.125
03SSD1F,[ɡeʔ()dᵊɡɛʔ()det],kʔʔt,6.041666666666667
04SSD2M,[iʌɽi],iɑɾi,0.125
cleft_16M,[a̰hçɔkʼ],ʌʃʌlt,1.25
04SSD2M,[fɔm],sɔ,1.125
cleft_28F,[aθ͢sɪ̽p],ʌ,4.041666666666667
03SSD1F,[fants],s,4.0
02SSD1M,[ijʌ],jæ,1.0833333333333333
02SSD1M,[ʒae],dʒʒɑ,1.5416666666666667
04SSD2M,[tivti],it,3.0
01SSD1M,[apəl̰],ɑθ,2.208333333333333
04SSD2M,[tɛɰedɪ̽vɪ],dʌɪtʌfæt,2.2083333333333335
03SSD1F,[dʌt],t,2.0
04SSD2M,[kʃkɔʃɪ̽z],tkɔsjɛs,1.666666666666667
01SSD1M,[ʋɪ̽ŋk],ðŋk,1.3333333333333333
02SSD1M,[iʒɪi],iʒi,1.0
04SSD2M,[ɛbʌəʌ],æbʌ,2.083333333333333
03SSD1F,[kʉk],kɪ,1.2083333333333333
02SSD1M,[aʒo],ɑkʃʌd,2.125
03SSD1F,[ʂwas],uʌ,2.166666666666667
04SSD2M,[bɪsɪ̽t],bɛsɛt,0.08333333333333333
04SSD2M,[ɡʌv],ɡɔ,1.0833333333333333
04SSD2M,[hʉmɪ̽n],humæt,0.29166666666666663
04SSD2M,[spas],spɑs,0.041666666666666664
04SSD2M,[fi],i,1.0
03SSD1F,[dlʌvz],kʌ,3.25
01SSD1M,[wɛᵊ],oʊʌnædbæŋkst,10.25
04SSD2M,[bɔp],bɔlp,1.0
02SSD1M,[kaʒɛɪ],kɑʒeɪ,0.08333333333333333
03SSD1F,[kɪ̽ʔsɪ̽n͡m],sɛn,4.041666666666666
01SSD1M,[tʃʃɪkɪ̽nkʌwe],tʃʃɪkɪnkʌli,0.4166666666666667
02SSD1M,[fɛdʌ],fætʌ,0.125
04SSD2M,[fɪ̽θɪ̽n],ɛsn,2.125
03SSD1F,[fae],aɪ,1.0833333333333333
04SSD2M,[fɛʌ],s,2.125
04SSD2M,[ᵊlɛɐɭo],jænoʊ,1.2499999999999998
03SSD1F,[wɔʔkʌɹ],wʌkʌ,2.083333333333333
01SSD1M,[¡hβab],ʌm,2.125
04SSD2M,[kap],kɑ,1.0416666666666667
03SSD1F,[tif],ti,1.0
03SSD1F,[sae],wʌseɪ,2.166666666666667
04SSD2M,[fɔk],sɔk,0.125
03SSD1F,[fɪ̽s],soʊ,0.7916666666666666
03SSD1F,[dɪdəɹ],tɪdɡʌ,0.6666666666666667
01SSD1M,[ʃip͋],ʃibʌs,2.041666666666667
cleft_28F,[aθoᵊɹ],ðæsʌwʌʔ,3.375
04SSD2M,[doɐ],d,2.0
03SSD1F,[tʌidʌ],teɪktʌ,1.125
01SSD1M,[bʋɛdθ],æt,3.125
01SSD1M,[hɛləxɔptɐ],hfɛlʔtʌ,2.9583333333333335
cleft_16M,[tʉ],tu,0.041666666666666664
04SSD2M,[q'fan],n,3.0
02SSD1M,[dlʒɛɪ],ɡɹeɪt,1.1666666666666665
cleft_28F,[aʪɵt],aɪʃʊd,2.2499999999999996
01SSD1M,[wɔkɐ],wɔkʌp,1.0416666666666667
04SSD2M,[ijo],i,2.0
04SSD2M,[stɔbeɪz],stʌlb,2.5416666666666665
cleft_28F,[aʪɔk'],ʌʃoʊlk,3.0833333333333335
03SSD1F,[dos],dus,0.08333333333333333
cleft_21M,[as͋i],ʌsi,0.041666666666666664
cleft_16M,[ɐtʃʃiᵊɹ],ʌki,3.25
04SSD2M,[ɔɻɪndʒʒ͋],oɹænt,2.333333333333333
03SSD1F,[wɔʔ()tʌɹ],wʌtʌhæf,2.0416666666666665
01SSD1M,[ɢɑz],ɡɑz,0.041666666666666664
04SSD2M,[aka],ʌkʌ,0.08333333333333333
04SSD2M,[bip],bi,1.0
03SSD1F,[faʔwʌn͡m],ðæʔwʌaɪk,1.9166666666666667
03SSD1F,[sek'],sk,1.0
04SSD2M,[aða],ɑ,2.0416666666666665
04SSD2M,[wabɪ̽t],wɑbʌt,0.16666666666666666
03SSD1F,[sɛbɹ͡wɐ],sæpʌ,2.1666666666666665
03SSD1F,[bʌʔdəfae],bʌʔdʌseɪd,1.3333333333333333
03SSD1F,[tco()koɐ],toʊlkulʌ,2.6249999999999996
01SSD1M,[kɑɪ],kɔ,1.125
03SSD1F,[twwab],tuæf,1.2916666666666667
03SSD1F,[tʃʃwin],tʃʃuŋ,1.3333333333333333
03SSD1F,[fae],ɹɛ,1.4166666666666667
cleft_16M,[ɐçi],ʌhi,0.16666666666666666
03SSD1F,[jʌʔt͆e],jɛppis,1.5
04SSD2M,[fɪ̽θ],fɛ,1.0416666666666667
03SSD1F,[ʌmbəʋɛlɐ],ɑmðʌlʌ,2.3333333333333335
03SSD1F,[fʋɔd],fɔt,1.0416666666666667
04SSD2M,[aɽa],ʌ,2.0416666666666665
03SSD1F,[sʉ],si,0.16666666666666666
04SSD2M,[ten],k,2.208333333333333
03SSD1F,[swɪ̽n],ʌʃuŋ,1.2083333333333333
04SSD2M,[taemʌindʌiŋ͡n],tmaɪnðeɪ,4.25
03SSD1F,[si\sip],si,3.0
03SSD1F,[paʔtʌ],bʌtʌ,1.0833333333333333
03SSD1F,[ɟoɐ],tʌ,1.25
02SSD1M,[ɡɪ̽ʝʌl],ɡoʊʃʌl,1.2916666666666665
04SSD2M,[pɛb],bɛt,0.20833333333333331
01SSD1M,[hɪ̽ʔstin],ætstind,2.041666666666667
cleft_21M,[akoᵊɹ],ʌkoɹ,0.041666666666666664
04SSD2M,[tʉbʌs],tubɑs,0.125
03SSD1F,[taʔtɪʔ()t],t,6.0
03SSD1F,[bʌd͆e],bʌti,0.08333333333333333
04SSD2M,[asa],ʌsʌ,0.08333333333333333
04SSD2M,[kɑ],kʌ,0.08333333333333333
