target_word,ground_truth_ipa,actual_ipa,distance
01SSD1M,[ʃip͋],ʃipəs,2.0
04SSD2M,[asa],ɑɪsɔ,1.1666666666666667
03SSD1F,[hɛlətɔʔtʌ],ðihɪltɔtʌ,1.5833333333333333
04SSD2M,[bɪsɪ̽t],ɹædsɛt,1.5
01SSD1M,[tɒɪ],,inf
03SSD1F,[fae],fɹaɪ,1.0833333333333333
03SSD1F,[swɪ̽n],ʃwɛn,0.125
03SSD1F,[ɡeʔ()dᵊɡɛʔ()det],kititi,4.291666666666666
cleft_28F,[aθoᵊɹ],ʔæsəlʌk,3.375
02SSD1M,[ɡɪ̽ʝʌl],ʌʃʌl,1.3333333333333333
03SSD1F,[dɪdəɹ],ɪdʌ,2.041666666666667
cleft_16M,[tʉ],u,1.0416666666666667
03SSD1F,[fɛlʌ],fɪʌ,1.0416666666666667
04SSD2M,[spas],spɑs,0.041666666666666664
03SSD1F,[tʃʃwin],ʃuhiŋ,1.958333333333333
01SSD1M,[ʃɪzɐz],ʃhɪzɑnʒ,2.2083333333333335
03SSD1F,[kɪ̽ʔsɪ̽n͡m],ɛpsʌn,2.416666666666667
02SSD1M,[ijʌ],jʌ,1.0
03SSD1F,[ʌmbəʋɛlɐ],ʔʌmðʌvilʌ,1.5833333333333335
03SSD1F,[ɡəwaf],uweɪ,1.625
03SSD1F,[tip],ip,1.0
03SSD1F,[ɟoɐ],uʌ,1.125
04SSD2M,[ɔɻɪndʒʒ͋],oɹænd,2.2916666666666665
03SSD1F,[wɔʔs],uvʌls,1.5833333333333333
cleft_28F,[acɪ̽ʔ],ʔaɪkæt,2.458333333333333
04SSD2M,[stɔbeɪz],stɔbɪz,1.0
03SSD1F,[twwab],uæb,2.1666666666666665
04SSD2M,[bʌd],ʌt,1.0416666666666667
04SSD2M,[fɔm],flɔm,1.0
04SSD2M,[ɛbʌəʌ],æʌ,3.083333333333333
03SSD1F,[bʌʔdəfae],ʌtəfaɪ,2.125
02SSD1M,[lʒoʌ],joʊʌ,0.7500000000000001
03SSD1F,[dʒʒadɔᵊ],æʌ,4.124999999999999
02SSD1M,[θɬ↓i],θɹit,1.3333333333333333
01SSD1M,[ʋɪ̽ŋk],ɹɪŋk,0.2916666666666667
03SSD1F,[sʉəl],ʃɪl,1.1666666666666665
03SSD1F,[fʋɔd],foʊt,0.45833333333333337
04SSD2M,[fat'],sʌt,0.16666666666666666
03SSD1F,[tif],ʃif,0.16666666666666666
03SSD1F,[pɪ̽d],upɛd,1.0416666666666667
01SSD1M,[ʪkʉl],ʃkɪ,1.0
01SSD1M,[vɛʌ],sʌp,0.625
03SSD1F,[dʌt],ʌptʒ,1.75
01SSD1M,[ʛᵊlas],əæs,1.3333333333333335
04SSD2M,[fɪ̽θɪ̽n],fɛsɛn,0.16666666666666666
04SSD2M,[ᵊlɛɐɭo],ʔəjænoʊ,2.75
03SSD1F,[tɪ̽de],tɪdip,1.0416666666666667
03SSD1F,[tʌidʌ],eɪtʌ,1.1250000000000002
04SSD2M,[ɡʌv],əɔf,0.4166666666666667
03SSD1F,[taʔtɪʔ()t],ɑpɛt,3.2083333333333335
cleft_16M,[ɐtʃʃiᵊɹ],ʔʌkiɹ,1.9583333333333335
03SSD1F,[si\sip],stitsi,1.875
03SSD1F,[ɪnᵊ],ʔɛn,1.0416666666666667
cleft_28F,[aθ͢sɪ̽p],ʔʌfsɛp,1.2500000000000002
04SSD2M,[lae],naɪ,0.20833333333333331
04SSD2M,[ɔʌ],ɔ,1.0
01SSD1M,[hɛləxɔptɐ],hʌkʊnttɛl,2.1666666666666665
03SSD1F,[sɛbɹ͡wɐ],sæʌ,3.1249999999999996
cleft_28F,[aʪɵt],ʔaɪʃʊ,2.375
cleft_21M,[atʉᵊl],ɑtɪl,0.25
04SSD2M,[bip],ip,1.0
