target_word,ground_truth_ipa,actual_ipa,distance
04SSD2M,[ijʌ],ja,7.75
04SSD2M,[kʃkɔʃɪ̽z],skɑɹfeɪs,25.875
04SSD2M,[taemʌindʌiŋ͡n],taɪmmaɪn,31.625
03SSD1F,[sae],sɪks,16.5
04SSD2M,[tip],dip,0.25
04SSD2M,[fɪ̽θ],feɪs,7.75
02SSD1M,[tʃʃɛʌ],tʃʃɛə,0.25
04SSD2M,[lɛd],lɛts,7.5
03SSD1F,[ʂwas],flæʃ,8.5
cleft_21M,[at͋ɪ̽p],ətækt,10.375
02SSD1M,[fɛdʌ],fɑðəɹ,10.25
04SSD2M,[wabɪ̽t],wɒtbɪt,7.75
03SSD1F,[ɔhɬɪ̽dnz],oʃlɛkmɪç,20.25
04SSD2M,[q'fan],faɪv,17.75
01SSD1M,[ɛɡ],ænd,10.125
04SSD2M,[zɛba],sɛpɑ,0.75
03SSD1F,[wae],waɪ,0.75
03SSD1F,[paʔtʌ],tɹæktə,13.875
01SSD1M,[ɔɹɪŋɡʃ],əm,31.5
01SSD1M,[wɔkɐ],wɑɾəɹ,15.125
04SSD2M,[tivti],titi,7.25
04SSD2M,[bɔp],pɒp,1.0
04SSD2M,[kɑ],kɑ,0.0
03SSD1F,[wɔʔkʌɹ],klɑk,31.875
01SSD1M,[hɪ̽ʔstin],ðɪsɪz,22.375
04SSD2M,[aɽa],ɑ,14.75
01SSD1M,[stwɪ̽ŋ],ʃtoɛtə,16.75
cleft_21M,[akoᵊɹ],əkɑ,9.25
02SSD1M,[kaʒɛɪ],kætʃʃi,15.75
03SSD1F,[fɪ̽sɪ̽n],fæst,11.25
03SSD1F,[faʔwʌn͡m],ðætwʌn,15.25
03SSD1F,[lʌdɛdz],nɑtðæt,18.5
03SSD1F,[wɔʔ()tʌɹ],wʌt,22.5
03SSD1F,[jʌʔt͆e],jɛp,16.375
cleft_16M,[ɐçi],əhɛm,11.75
01SSD1M,[ɡoz],ɡɛtɪŋkɔlz,43.75
02SSD1M,[ʒae],ja,12.125
02SSD1M,[lʒab],tʃʃæp,12.0
04SSD2M,[tɛɰedɪ̽vɪ],tʃʃɑɹlitɛləfækt,57.5
03SSD1F,[bʌɟɡə],ə,29.0
04SSD2M,[ten],tɛ,7.5
02SSD1M,[pʉʌ],tyɹ,6.375
02SSD1M,[ʒɛɪts],feɪt,9.375
04SSD2M,[kap],kʌp,0.5
