target_word,ground_truth_ipa,actual_ipa,distance
01SSD1M,[ɛɡ],æŋk,8.25
01SSD1M,[k'weɐ],ɡoʊɪŋɑp,26.875
01SSD1M,[ʪkʉl],ʌʃkɪ,23.75
04SSD2M,[ɭɛɻo],noʊɾoʊ,22.25
03SSD1F,/dʒʒaʉn/,dʒʒaʊn,1.0
01SSD1M,[ijʌ],jæ,8.25
04SSD2M,[zɛba],sɛbʌ,0.75
03SSD1F,[fɪ̽sɪ̽n],sɛn,15.0
03SSD1F,[dʒʒʉ],ɡɪt,19.375
01SSD1M,[vɛʌ],soʊ,3.875
01SSD1M,[pixɪŋ],bikɪnd,10.625
cleft_21M,[atʉᵊl],ɑtɪl,2.25
03SSD1F,[pɪ̽d],peɪt,7.5
03SSD1F,[fɛlʌ],sʌ,15.625
03SSD1F,[wɔʔs],wʌs,8.0
03SSD1F,[ɪnᵊ],ɛn,0.5
01SSD1M,[pɪ̽ŋq'pɔŋq'],pŋɔŋk,22.25
03SSD1F,[ɡəwaf],ɡoʊæ,11.375
02SSD1M,[lʒab],ɡæp,10.875
03SSD1F,[tip],titt,8.375
01SSD1M,[ɔɹɪŋɡʃ],ɔʌŋʃ,15.75
03SSD1F,[wae],waɪ,0.75
cleft_28F,[acɪ̽ʔ],aɪæ,12.125
03SSD1F,[lʌdɛdz],nɑtðæt,18.5
02SSD1M,[θɬ↓i],ʃi,8.0
03SSD1F,[bʌɟɡə],bʌtɛ,9.625
cleft_21M,[at͋ɪ̽p],ʌtsæʔ,14.75
04SSD2M,[tɛʌɽe],djæ,18.125
04SSD2M,[ijʌ],iɑ,8.0
03SSD1F,[tswea],ʃæ,23.0
03SSD1F,[sʉəl],sɪlt,11.75
04SSD2M,[lae],laɪ,0.75
02SSD1M,[aʒo],bæeɪt,24.0
cleft_28F,[açak'],ʌʃɑk,2.125
cleft_21M,[akʌp],ɑkɑlp,8.25
04SSD2M,[tip],d,14.75
03SSD1F,[hɛlətɔʔtʌ],hitɔttʌ,19.5
04SSD2M,[lɛd],æt,8.25
01SSD1M,[dʒʒ͌ɪ̽ʋaf],kjuæsʌ,32.25
03SSD1F,[ɔhɬɪ̽dnz],oʊɛdbts,23.875
03SSD1F,[dʒʒadɔᵊ],ɡɛttʌ,19.875
04SSD2M,[fat'],sʌt,1.625
02SSD1M,[ʒɛɪts],ʃeɪt,7.75
02SSD1M,[ʒɪŋ],ʃŋ,7.5
01SSD1M,[stwɪ̽ŋ],stuɪŋ,2.375
04SSD2M,[bɪ̽ɡ],bæŋk,8.75
04SSD2M,[kɥin],ki,14.5
04SSD2M,[tif],d,14.75
04SSD2M,[tam],tɑm,0.25
01SSD1M,[ɡoz],keɪtikʌʌskɪkʌmʌz,95.0
03SSD1F,[fɪ̽ʔtʃʃə],sɛʔəntʌt,24.625
02SSD1M,[tʃʃɛʌ],tʃʃaɪlt,17.0
01SSD1M,[ʛᵊlas],ɡʌlæs,8.5
03SSD1F,[tɪ̽de],tɪdit,7.75
04SSD2M,[ɛəfaɪn],æzɑt,19.625
04SSD2M,[ɔʌ],ɔ,7.25
02SSD1M,[pʉʌ],tuʌ,1.375
01SSD1M,[ʃɪzɐz],ʃizʌʃ,1.75
04SSD2M,[faŋkʉ],fʌŋk,7.75
02SSD1M,[lʒoʌ],ʌ,21.75
01SSD1M,[tɒɪ],kɔ,10.125
03SSD1F,[tɪdəɹ],tɪdʒʒʌ,19.5
04SSD2M,[bʌd],bɑt,1.0
03SSD1F,[ɡeʔ()dᵊɡɛʔ()det],kʔʔt,43.75
04SSD2M,[iʌɽi],iɑɾi,1.25
cleft_16M,[a̰hçɔkʼ],ʌʃʌlt,19.75
04SSD2M,[fɔm],sɔ,8.375
cleft_28F,[aθ͢sɪ̽p],ʌ,29.5
03SSD1F,[fants],s,29.0
02SSD1M,[ijʌ],jæ,8.25
02SSD1M,[ʒae],dʒʒɑ,16.75
