target_word,ground_truth_ipa,actual_ipa,distance
01SSD1M,[ʃip͋],ʃipəs,14.5
04SSD2M,[asa],ɑɪsɔ,8.75
03SSD1F,[hɛlətɔʔtʌ],ðihɪltɔtʌ,22.5
04SSD2M,[bɪsɪ̽t],ɹædsɛt,16.125
01SSD1M,[tɒɪ],,inf
03SSD1F,[fae],fɹaɪ,8.0
03SSD1F,[swɪ̽n],ʃwɛn,1.25
03SSD1F,[ɡeʔ()dᵊɡɛʔ()det],kititi,31.5
cleft_28F,[aθoᵊɹ],ʔæsəlʌk,27.0
02SSD1M,[ɡɪ̽ʝʌl],ʌʃʌl,10.125
03SSD1F,[dɪdəɹ],ɪdʌ,14.75
cleft_16M,[tʉ],u,7.5
03SSD1F,[fɛlʌ],fɪʌ,7.75
04SSD2M,[spas],spɑs,0.25
03SSD1F,[tʃʃwin],ʃuhiŋ,22.625
01SSD1M,[ʃɪzɐz],ʃhɪzɑnʒ,16.5
03SSD1F,[kɪ̽ʔsɪ̽n͡m],ɛpsʌn,22.0
02SSD1M,[ijʌ],jʌ,7.25
03SSD1F,[ʌmbəʋɛlɐ],ʔʌmðʌvilʌ,15.875
03SSD1F,[ɡəwaf],uweɪ,17.875
03SSD1F,[tip],ip,7.25
03SSD1F,[ɟoɐ],uʌ,8.75
04SSD2M,[ɔɻɪndʒʒ͋],oɹænd,17.5
03SSD1F,[wɔʔs],uvʌls,16.0
cleft_28F,[acɪ̽ʔ],ʔaɪkæt,22.125
04SSD2M,[stɔbeɪz],stɔbɪz,7.25
03SSD1F,[twwab],uæb,17.375
04SSD2M,[bʌd],ʌt,7.5
04SSD2M,[fɔm],flɔm,7.25
04SSD2M,[ɛbʌəʌ],æʌ,22.5
03SSD1F,[bʌʔdəfae],ʌtəfaɪ,15.5
02SSD1M,[lʒoʌ],joʊʌ,13.125
03SSD1F,[dʒʒadɔᵊ],æʌ,30.25
02SSD1M,[θɬ↓i],θɹit,13.5
01SSD1M,[ʋɪ̽ŋk],ɹɪŋk,2.375
03SSD1F,[sʉəl],ʃɪl,9.0
03SSD1F,[fʋɔd],foʊt,5.375
04SSD2M,[fat'],sʌt,1.625
03SSD1F,[tif],ʃif,2.0
03SSD1F,[pɪ̽d],upɛd,7.75
01SSD1M,[ʪkʉl],ʃkɪ,16.5
01SSD1M,[vɛʌ],sʌp,10.75
03SSD1F,[dʌt],ʌptʒ,19.625
01SSD1M,[ʛᵊlas],əæs,13.75
04SSD2M,[fɪ̽θɪ̽n],fɛsɛn,1.5
04SSD2M,[ᵊlɛɐɭo],ʔəjænoʊ,24.375
03SSD1F,[tɪ̽de],tɪdip,7.75
03SSD1F,[tʌidʌ],eɪtʌ,8.25
04SSD2M,[ɡʌv],əɔf,8.875
03SSD1F,[taʔtɪʔ()t],ɑpɛt,23.625
cleft_16M,[ɐtʃʃiᵊɹ],ʔʌkiɹ,22.5
03SSD1F,[si\sip],stitsi,21.75
03SSD1F,[ɪnᵊ],ʔɛn,7.75
cleft_28F,[aθ͢sɪ̽p],ʔʌfsɛp,9.625
04SSD2M,[lae],naɪ,2.75
04SSD2M,[ɔʌ],ɔ,7.25
01SSD1M,[hɛləxɔptɐ],hʌkʊnttɛl,29.375
03SSD1F,[sɛbɹ͡wɐ],sæʌ,23.0
cleft_28F,[aʪɵt],ʔaɪʃʊ,18.5
cleft_21M,[atʉᵊl],ɑtɪl,2.25
04SSD2M,[bip],ip,7.25
01SSD1M,[dʒʒ͌ɪ̽ʋaf],jʊɹæθə,32.375
03SSD1F,[dʒʒʉ],kɪ,18.875
03SSD1F,[dos],uɹs,14.0
03SSD1F,[fɪ̽s],sɛks,8.875
04SSD2M,[hʉmɪ̽n],humɛn,0.75
03SSD1F,/dʒʒaʉn/,aʊn,22.75
cleft_28F,[açak'],ʔʌfʃɑt,18.75
04SSD2M,[tɛʌɽe],jɑɾ,18.625
03SSD1F,[bʌd͆e],bʌdi,0.5
02SSD1M,[iʒɪi],iʒi,7.25
04SSD2M,[ɛəfaɪn],æfɹæd,16.75
01SSD1M,[wɛᵊ],ʔɔnʌbæŋks,54.5
cleft_28F,[aʪɔk'],ʔʌsɔt,17.125
01SSD1M,[pixɪŋ],ihɪŋd,17.0
01SSD1M,[bʋɛdθ],ɹæds,10.875
03SSD1F,[sʉ],slɪ,9.25
01SSD1M,[tʃʃɪkɪ̽nkʌwe],tʃʃɪkindʌliv,16.0
02SSD1M,[aʒo],ʔɑʃoʊ,15.0
02SSD1M,[tʃʃɛʌ],ʃæl,21.25
04SSD2M,[fɪ̽θ],sæʃ,3.125
04SSD2M,[tip],it,8.375
03SSD1F,[sae],əseɪ,9.0
04SSD2M,[taemʌindʌiŋ͡n],aɪmeɪnðeɪɪŋ,19.25
04SSD2M,[kʃkɔʃɪ̽z],ʃkɔsjæɛs,23.25
04SSD2M,[ijʌ],ʔiɑ,8.0
01SSD1M,[ɔɹɪŋɡʃ],ʔoʊmŋʃ,13.875
03SSD1F,[paʔtʌ],ɛʌ,23.0
03SSD1F,[wae],huaɪ,10.375
04SSD2M,[zɛba],sɛɑ,7.75
01SSD1M,[ɛɡ],ʔʌŋk,15.5
04SSD2M,[q'fan],sɑn,8.625
04SSD2M,[wabɪ̽t],wɑɡɛ,10.0
02SSD1M,[fɛdʌ],fætʌ,1.0
03SSD1F,[ɔhɬɪ̽dnz],ʌʃɛdits,21.25
03SSD1F,[ʂwas],fhuæ,15.375
cleft_21M,[at͋ɪ̽p],ʔʌtæ,16.25
04SSD2M,[lɛd],lɛ,7.25
01SSD1M,[stwɪ̽ŋ],stɹeɪ,9.25
04SSD2M,[aɽa],ɑ,14.75
01SSD1M,[hɪ̽ʔstin],hɛtstind,13.625
04SSD2M,[kɑ],ɔ,8.75
03SSD1F,[wɔʔkʌɹ],hwʌtʌ,20.375
04SSD2M,[tivti],ifi,14.75
04SSD2M,[bɔp],ɔp,7.25
01SSD1M,[wɔkɐ],wɔkʌp,7.75
03SSD1F,[wɔʔ()tʌɹ],wʌʌ,22.5
03SSD1F,[lʌdɛdz],nʌtðɛt,17.0
03SSD1F,[fɪ̽sɪ̽n],ɹɛθsɛn,14.875
03SSD1F,[faʔwʌn͡m],fθætwʌmittʃʃ,47.625
02SSD1M,[kaʒɛɪ],ɑʒeɪ,7.75
cleft_21M,[akoᵊɹ],ʔʌkoɹ,7.75
02SSD1M,[ʒɛɪts],ʃeɪt,7.75
04SSD2M,[kap],ɑp,7.5
04SSD2M,[ten],t,14.5
02SSD1M,[pʉʌ],uʌ,7.5
02SSD1M,[lʒab],dʒʒæp,11.5
04SSD2M,[tɛɰedɪ̽vɪ],aɪiɛfæ,21.5
03SSD1F,[bʌɟɡə],ʌtjɛ,15.125
02SSD1M,[ʒae],ʒaɪ,0.75
03SSD1F,[jʌʔt͆e],jʌpiθ,16.125
01SSD1M,[ɡoz],eɪtiɡoʊnzjukəmʌz,94.25
cleft_16M,[ɐçi],ʌhi,3.5
04SSD2M,[tʉbʌs],ublɔs,15.5
04SSD2M,[ijo],l,18.625
03SSD1F,[tco()koɐ],ʊuʌ,24.0
04SSD2M,[doɐ],ɑ,15.75
cleft_16M,[a̰hçɔkʼ],ʌʃɔ,16.625
01SSD1M,[pɪ̽ŋq'pɔŋq'],eɪŋoʊn,33.375
04SSD2M,[aða],aɪɑ,7.75
04SSD2M,[kɥin],ŋ,23.875
03SSD1F,[fɪ̽ʔtʃʃə],sɛtʌ,23.625
03SSD1F,[kʉk],wəʃɪt,21.5
01SSD1M,[apəl̰],ʔæftʊ,24.375
04SSD2M,[fɔk],flɔɡ,7.5
01SSD1M,[ijʌ],jʌ,7.25
04SSD2M,[aka],ʌnʌ,5.875
04SSD2M,[ɭɛɻo],noʊɾɔ,15.25
cleft_21M,[as͋i],ʔʌsi,7.75
03SSD1F,[fants],θʌŋ,18.5
